nbNodes = 21;
nbVehicles = 2;
Tmax = 360;

Score = [
0, 6, 7, 10, 6, 4, 9, 9, 5, 1, 1, 4, 4, 8, 6, 1, 9, 6, 6, 2, 4
];

ServiceTime = [
0, 52, 45, 94, 54, 45, 113, 107, 59, 27, 24, 54, 54, 92, 59, 21, 100, 56, 57, 22, 49
];

TravelTime = [
[0.0, 11.57, 28.09, 0.26, 22.94, 8.48, 26.79, 23.97, 9.84, 36.31, 10.76, 29.91, 25.5, 32.89, 10.59, 0.73, 3.73, 0.45, 5.6, 11.43, 30.45],
[11.57, 0.0, 39.55, 11.82, 33.25, 19.88, 37.91, 35.35, 17.5, 44.33, 21.42, 40.98, 31.01, 44.13, 1.44, 12.23, 12.42, 11.44, 16.19, 22.53, 40.78],
[28.09, 39.55, 0.0, 27.85, 11.56, 19.67, 4.93, 4.35, 24.91, 24.84, 21.37, 5.69, 28.16, 5.92, 38.66, 27.49, 28.64, 28.15, 24.93, 17.2, 11.38],
[0.26, 11.82, 27.85, 0.0, 22.75, 8.25, 26.57, 23.73, 9.81, 36.2, 10.53, 29.69, 25.48, 32.66, 10.84, 0.49, 3.67, 0.62, 5.38, 11.22, 30.26],
[22.94, 33.25, 11.56, 22.75, 0.0, 15.08, 7.02, 8.39, 16.31, 16.57, 20.95, 9.12, 16.61, 12.85, 32.71, 22.56, 24.93, 22.82, 22.1, 11.84, 7.55],
[8.48, 19.88, 19.67, 8.25, 15.08, 0.0, 18.34, 15.5, 8.62, 30.0, 8.1, 21.48, 22.12, 24.41, 19.0, 7.94, 9.88, 8.51, 7.15, 3.24, 22.43],
[26.79, 37.91, 4.93, 26.57, 7.02, 18.34, 0.0, 4.14, 22.03, 20.16, 21.9, 3.14, 23.46, 6.35, 37.16, 26.28, 27.98, 26.78, 24.55, 15.41, 7.0],
[23.97, 35.35, 4.35, 23.73, 8.39, 15.5, 4.14, 0.0, 20.57, 23.64, 18.09, 6.92, 24.81, 9.08, 34.51, 23.39, 24.76, 24.01, 21.16, 12.91, 10.97],
[9.84, 17.5, 24.91, 9.81, 16.31, 8.62, 22.03, 20.57, 0.0, 27.14, 16.19, 24.86, 15.67, 28.38, 17.23, 9.95, 13.34, 9.48, 13.03, 8.71, 23.68],
[36.31, 44.33, 24.84, 36.2, 16.57, 30.0, 20.16, 23.64, 27.14, 0.0, 37.01, 19.47, 15.16, 21.93, 44.23, 36.16, 39.16, 36.05, 37.11, 26.94, 13.52],
[10.76, 21.42, 21.37, 10.53, 20.95, 8.1, 21.9, 18.09, 16.19, 37.01, 0.0, 24.94, 30.2, 27.03, 20.17, 10.04, 9.01, 11.12, 5.3, 10.42, 27.51],
[29.91, 40.98, 5.69, 29.69, 9.12, 21.48, 3.14, 6.92, 24.86, 19.47, 24.94, 0.0, 24.84, 3.74, 40.25, 29.4, 31.12, 29.89, 27.69, 18.51, 5.95],
[25.5, 31.01, 28.16, 25.48, 16.61, 22.12, 23.46, 24.81, 15.67, 15.16, 30.2, 24.84, 0.0, 28.47, 31.2, 25.62, 29.0, 25.13, 28.25, 20.06, 20.25],
[32.89, 44.13, 5.92, 32.66, 12.85, 24.41, 6.35, 9.08, 28.38, 21.93, 27.03, 3.74, 28.47, 0.0, 43.35, 32.34, 33.83, 32.91, 30.24, 21.6, 8.83],
[10.59, 1.44, 38.66, 10.84, 32.71, 19.0, 37.16, 34.51, 17.23, 44.23, 20.17, 40.25, 31.2, 43.35, 0.0, 11.23, 11.16, 10.51, 14.98, 21.76, 40.25],
[0.73, 12.23, 27.49, 0.49, 22.56, 7.94, 26.28, 23.39, 9.95, 36.16, 10.04, 29.4, 25.62, 32.34, 11.23, 0.0, 3.42, 1.09, 4.9, 10.96, 30.05],
[3.73, 12.42, 28.64, 3.67, 24.93, 9.88, 27.98, 24.76, 13.34, 39.16, 9.01, 31.12, 29.0, 33.83, 11.16, 3.42, 0.0, 4.17, 3.9, 13.1, 32.3],
[0.45, 11.44, 28.15, 0.62, 22.82, 8.51, 26.78, 24.01, 9.48, 36.05, 11.12, 29.89, 25.13, 32.91, 10.51, 1.09, 4.17, 0.0, 5.99, 11.39, 30.34],
[5.6, 16.19, 24.93, 5.38, 22.1, 7.15, 24.55, 21.16, 13.03, 37.11, 5.3, 27.69, 28.25, 30.24, 14.98, 4.9, 3.9, 5.99, 0.0, 10.34, 29.29],
[11.43, 22.53, 17.2, 11.22, 11.84, 3.24, 15.41, 12.91, 8.71, 26.94, 10.42, 18.51, 20.06, 21.6, 21.76, 10.96, 13.1, 11.39, 10.34, 0.0, 19.21],
[30.45, 40.78, 11.38, 30.26, 7.55, 22.43, 7.0, 10.97, 23.68, 13.52, 27.51, 5.95, 20.25, 8.83, 40.25, 30.05, 32.3, 30.34, 29.29, 19.21, 0.0]
];
