nbNodes = 16;
nbVehicles = 1;
Tmax = 480;

Score = [
0, 7, 5, 9, 7, 6, 10, 4, 8, 10, 3, 6, 10, 9, 3, 6
];

ServiceTime = [
0, 59, 52, 90, 57, 52, 92, 59, 91, 101, 23, 60, 113, 116, 21, 46
];

TravelTime = [
[0.0, 9.51, 11.57, 9.69, 33.45, 13.09, 0.73, 10.35, 32.89, 29.8, 0.73, 13.02, 6.57, 0.72, 8.47, 20.55],
[9.51, 0.0, 15.07, 5.87, 41.21, 18.11, 10.15, 17.9, 36.55, 26.51, 9.21, 16.52, 3.02, 9.52, 14.86, 27.07],
[11.57, 15.07, 0.0, 18.98, 41.73, 3.5, 11.2, 20.65, 44.13, 40.35, 12.23, 1.53, 13.85, 10.85, 4.72, 30.75],
[9.69, 5.87, 18.98, 0.0, 37.09, 21.5, 10.42, 14.54, 30.87, 21.45, 9.05, 20.51, 5.25, 10.1, 17.41, 22.51],
[33.45, 41.21, 41.73, 37.09, 0.0, 40.65, 33.22, 23.4, 19.96, 40.43, 33.28, 42.55, 38.4, 33.93, 37.01, 14.8],
[13.09, 18.11, 3.5, 21.5, 40.65, 0.0, 12.57, 20.93, 44.67, 42.63, 13.81, 2.82, 16.56, 12.41, 4.75, 30.69],
[0.73, 10.15, 11.2, 10.42, 33.22, 12.57, 0.0, 10.28, 33.1, 30.44, 1.41, 12.62, 7.24, 0.74, 7.9, 20.52],
[10.35, 17.9, 20.65, 14.54, 23.4, 20.93, 10.28, 0.0, 23.75, 27.58, 10.06, 21.87, 15.02, 10.94, 16.32, 10.26],
[32.89, 36.55, 44.13, 30.87, 19.96, 44.67, 33.1, 23.75, 0.0, 23.77, 32.34, 45.44, 34.67, 33.59, 40.01, 15.06],
[29.8, 26.51, 40.35, 21.45, 40.43, 42.63, 30.44, 27.58, 23.77, 0.0, 29.07, 41.89, 26.69, 30.42, 38.21, 27.58],
[0.73, 9.21, 12.23, 9.05, 33.28, 13.81, 1.41, 10.06, 32.34, 29.07, 0.0, 13.7, 6.22, 1.41, 9.2, 20.2],
[13.02, 16.52, 1.53, 20.51, 42.55, 2.82, 12.62, 21.87, 45.44, 41.89, 13.7, 0.0, 15.37, 12.3, 5.66, 31.9],
[6.57, 3.02, 13.85, 5.25, 38.4, 16.56, 7.24, 15.02, 34.67, 26.69, 6.22, 15.37, 0.0, 6.65, 12.81, 24.45],
[0.72, 9.52, 10.85, 10.1, 33.93, 12.41, 0.74, 10.94, 33.59, 30.42, 1.41, 12.3, 6.65, 0.0, 7.81, 21.16],
[8.47, 14.86, 4.72, 17.41, 37.01, 4.75, 7.9, 16.32, 40.01, 38.21, 9.2, 5.66, 12.81, 7.81, 0.0, 26.27],
[20.55, 27.07, 30.75, 22.51, 14.8, 30.69, 20.52, 10.26, 15.06, 27.58, 20.2, 31.9, 24.45, 21.16, 26.27, 0.0]
];
