nbNodes = 31;
nbVehicles = 3;
Tmax = 360;

Score = [
0, 6, 4, 3, 2, 6, 3, 2, 1, 2, 3, 8, 2, 2, 3, 3, 1, 1, 1, 5, 2, 6, 9, 1, 5, 5, 2, 2, 10, 1, 1
];

ServiceTime = [
0, 58, 56, 24, 20, 55, 30, 24, 24, 21, 28, 106, 24, 23, 23, 28, 25, 23, 27, 55, 25, 56, 101, 24, 49, 57, 26, 27, 107, 29, 23
];

TravelTime = [
[0.0, 6.67, 28.09, 17.48, 0.26, 8.78, 8.52, 29.83, 9.99, 23.97, 29.25, 10.03, 55.07, 25.5, 0.73, 5.48, 10.35, 21.25, 0.8, 0.45, 8.12, 9.22, 9.63, 17.83, 0.72, 7.42, 11.43, 4.84, 10.01, 24.25, 6.69],
[6.67, 0.0, 34.47, 24.01, 6.87, 2.13, 6.27, 36.31, 7.4, 30.44, 35.88, 12.63, 59.43, 30.63, 6.66, 11.34, 16.94, 26.83, 6.31, 6.77, 7.17, 8.47, 8.03, 21.63, 6.03, 4.32, 18.08, 9.67, 6.04, 30.61, 4.39],
[28.09, 34.47, 0.0, 16.3, 27.85, 36.59, 35.84, 2.53, 37.15, 4.35, 5.92, 25.51, 35.03, 28.16, 28.38, 25.9, 19.81, 24.23, 28.69, 28.15, 31.08, 30.92, 32.05, 19.91, 28.8, 35.26, 17.2, 25.1, 34.84, 17.66, 34.46],
[17.48, 24.01, 16.3, 0.0, 17.32, 26.04, 22.92, 16.78, 23.93, 12.23, 14.33, 21.24, 50.37, 13.78, 17.37, 12.95, 7.15, 8.98, 17.71, 17.29, 24.03, 24.58, 25.46, 22.04, 18.04, 23.05, 7.6, 17.33, 27.01, 7.12, 22.23],
[0.26, 6.87, 27.85, 17.32, 0.0, 8.99, 8.78, 29.59, 10.24, 23.73, 29.03, 9.85, 54.82, 25.48, 0.93, 5.45, 10.19, 21.2, 1.04, 0.62, 8.09, 9.17, 9.61, 17.6, 0.97, 7.67, 11.22, 4.62, 10.08, 24.12, 6.94],
[8.78, 2.13, 36.59, 26.04, 8.99, 0.0, 6.58, 38.43, 7.37, 32.57, 38.01, 14.26, 61.12, 32.19, 8.74, 13.26, 19.01, 28.54, 8.39, 8.86, 8.36, 9.57, 8.91, 23.34, 8.13, 4.79, 20.2, 11.71, 6.23, 32.56, 5.21],
[8.52, 6.27, 35.84, 22.92, 8.78, 6.58, 0.0, 37.36, 1.48, 31.58, 36.23, 17.6, 63.57, 26.73, 7.97, 10.2, 16.54, 23.61, 7.75, 8.26, 13.1, 14.43, 14.16, 26.11, 7.86, 1.95, 18.68, 13.18, 12.29, 28.73, 2.14],
[29.83, 36.31, 2.53, 16.78, 29.59, 38.43, 37.36, 0.0, 38.63, 5.86, 4.16, 27.78, 35.85, 27.74, 30.07, 27.28, 21.06, 24.12, 30.4, 29.87, 33.22, 33.11, 34.23, 22.41, 30.54, 36.88, 18.68, 27.08, 36.95, 17.09, 36.07],
[9.99, 7.4, 37.15, 23.93, 10.24, 7.37, 1.48, 38.63, 0.0, 32.87, 37.41, 19.04, 65.04, 27.04, 9.43, 11.38, 17.71, 24.14, 9.21, 9.73, 14.39, 15.72, 15.39, 27.58, 9.33, 3.19, 19.96, 14.66, 13.34, 29.55, 3.57],
[23.97, 30.44, 4.35, 12.23, 23.73, 32.57, 31.58, 5.86, 32.87, 0.0, 6.59, 22.25, 38.39, 24.81, 24.22, 21.58, 15.46, 20.58, 24.55, 24.01, 27.49, 27.44, 28.55, 17.87, 24.68, 31.06, 12.91, 21.26, 31.19, 14.7, 30.25],
