nbNodes = 51;
nbVehicles = 3;
Tmax = 480;

Score = [
0, 8, 7, 7, 8, 1, 10, 8, 4, 6, 4, 3, 9, 1, 10, 2, 4, 7, 5, 10, 9, 8, 10, 1, 6, 4, 8, 4, 8, 2, 10, 10, 10, 6, 8, 7, 7, 5, 3, 7, 7, 4, 5, 4, 8, 2, 9, 10, 6, 9, 7
];

ServiceTime = [
0, 95, 59, 51, 104, 28, 115, 103, 49, 49, 45, 26, 118, 30, 113, 20, 57, 48, 49, 103, 94, 110, 118, 28, 56, 49, 106, 58, 99, 24, 108, 96, 120, 45, 111, 50, 58, 51, 26, 53, 59, 45, 56, 55, 98, 29, 99, 94, 45, 98, 46
];

TravelTime = [
[0.0, 9.51, 6.67, 8.95, 11.57, 4.59, 35.51, 33.41, 28.09, 8.97, 7.9, 17.48, 0.26, 22.94, 8.48, 9.99, 8.78, 29.25, 10.09, 31.78, 29.51, 30.82, 55.07, 6.01, 5.82, 36.31, 25.5, 13.09, 0.73, 8.7, 5.48, 30.14, 10.35, 23.34, 21.25, 27.83, 0.45, 29.73, 13.02, 9.63, 8.45, 8.45, 6.23, 23.84, 21.39, 20.55, 7.57, 10.01, 24.25, 4.66, 0.48],
[9.51, 0.0, 8.75, 3.28, 15.07, 8.47, 43.18, 30.3, 30.97, 2.4, 15.47, 24.78, 9.46, 29.13, 14.23, 16.01, 12.53, 33.74, 16.03, 35.03, 35.23, 34.93, 51.87, 5.62, 4.02, 44.17, 34.67, 18.11, 10.15, 5.09, 14.77, 38.23, 17.9, 31.46, 30.16, 36.2, 9.95, 38.89, 16.52, 1.18, 16.79, 15.97, 9.02, 30.23, 29.76, 27.07, 11.72, 4.53, 31.89, 6.95, 9.53],
[6.67, 8.75, 0.0, 6.03, 6.5, 2.08, 41.77, 37.68, 34.47, 6.7, 7.63, 24.01, 6.87, 29.59, 15.05, 7.4, 3.8, 35.88, 7.4, 38.25, 36.18, 37.41, 59.43, 3.22, 7.62, 42.48, 30.63, 9.37, 6.66, 11.38, 11.34, 36.24, 16.94, 29.5, 26.83, 33.78, 6.77, 34.8, 8.02, 8.03, 14.87, 8.03, 11.63, 30.47, 27.44, 27.18, 13.71, 6.04, 30.61, 2.71, 7.1],
[8.95, 3.28, 6.03, 0.0, 12.04, 6.38, 44.0, 33.54, 33.33, 0.88, 13.37, 25.68, 8.99, 30.51, 15.43, 13.43, 9.68, 35.7, 13.43, 37.33, 36.82, 37.01, 55.14, 3.41, 5.1, 44.89, 34.44, 15.23, 9.42, 7.77, 14.42, 38.82, 18.58, 32.01, 30.18, 36.61, 9.31, 38.67, 13.45, 2.23, 17.09, 13.82, 10.57, 31.54, 30.15, 28.3, 13.22, 1.52, 32.68, 5.05, 9.13],
[11.57, 15.07, 6.5, 12.04, 0.0, 7.81, 43.83, 44.08, 39.55, 12.83, 6.73, 27.22, 11.82, 33.25, 19.88, 3.99, 2.89, 40.27, 3.86, 43.14, 39.91, 41.94, 65.83, 9.7, 14.07, 44.33, 31.01, 3.5, 11.2, 17.84, 14.36, 38.04, 20.65, 31.6, 28.01, 35.34, 11.44, 34.96, 1.53, 14.22, 18.26, 6.67, 17.47, 33.97, 29.38, 30.75, 19.13, 11.51, 33.14, 9.04, 12.04],
[4.59, 8.47, 2.08, 6.38, 7.81, 0.0, 39.79, 36.29, 32.47, 6.84, 7.05, 21.96, 4.79, 27.51, 12.99, 7.67, 4.93, 33.81, 7.71, 36.23, 34.09, 35.35, 58.04, 3.0, 6.42, 40.53, 28.95, 10.19, 4.59, 10.17, 9.38, 34.3, 14.87, 27.54, 25.02, 31.88, 4.69, 33.14, 9.34, 8.01, 12.83, 7.53, 9.79, 28.39, 25.51, 25.11, 11.74, 6.87, 28.6, 1.53, 5.02],
[35.51, 43.18, 41.77, 44.0, 43.83, 39.79, 0.0, 42.69, 23.25, 43.74, 37.11, 18.4, 35.39, 15.22, 28.97, 40.08, 42.11, 17.42, 40.22, 21.82, 12.53, 18.58, 56.6, 41.49, 39.29, 1.61, 15.37, 42.75, 35.29, 39.0, 30.43, 5.92, 25.42, 12.3, 16.18, 8.82, 35.26, 13.97, 44.65, 43.86, 27.06, 37.23, 34.24, 13.98, 14.47, 16.58, 31.61, 45.29, 11.32, 40.16, 35.19],
[33.41, 30.3, 37.68, 33.54, 44.08, 36.29, 42.69, 0.0, 19.49, 32.66, 41.25, 31.39, 33.17, 29.27, 27.63, 43.35, 41.21, 25.4, 43.44, 21.9, 30.17, 24.66, 21.75, 34.64, 30.06, 44.26, 45.04, 46.31, 34.04, 26.33, 34.49, 41.28, 30.62, 37.3, 40.36, 41.33, 33.73, 48.09, 45.61, 31.44, 32.33, 41.79, 27.19, 30.31, 37.43, 29.64, 26.6, 34.82, 35.55, 35.05, 32.99],
[28.09, 30.97, 34.47, 33.33, 39.55, 32.47, 23.25, 19.49, 0.0, 32.66, 34.24, 16.3, 27.85, 11.56, 19.67, 37.15, 36.84, 5.92, 37.28, 4.12, 10.72, 5.49, 35.03, 32.44, 28.31, 24.84, 28.16, 40.4, 28.38, 25.88, 25.9, 22.46, 19.81, 19.92, 24.23, 23.07, 28.15, 30.41, 40.92, 32.05, 22.25, 34.66, 23.07, 12.23, 20.82, 13.06, 20.77, 34.84, 17.66, 31.9, 27.61],
[8.97, 2.4, 6.7, 0.88, 12.83, 6.84, 43.74, 32.66, 32.66, 0.0, 13.88, 25.38, 8.98, 30.09, 15.03, 14.08, 10.41, 35.14, 14.09, 36.68, 36.35, 36.42, 54.26, 3.84, 4.6, 44.66, 34.46, 15.98, 9.49, 6.99, 14.43, 38.62, 18.33, 31.81, 30.12, 36.45, 9.36, 38.68, 14.26, 1.39, 16.93, 14.35, 10.05, 31.14, 29.99, 27.92, 12.74, 2.27, 32.42, 5.42, 9.11],
[7.9, 15.47, 7.63, 13.37, 6.73, 7.05, 37.11, 41.25, 34.24, 13.88, 0.0, 20.84, 8.14, 27.0, 14.88, 3.09, 5.59, 34.37, 3.24, 37.6, 33.63, 36.13, 62.85, 10.04, 12.81, 37.6, 24.41, 6.25, 7.24, 16.27, 8.38, 31.31, 14.68, 24.89, 21.28, 28.61, 7.55, 28.43, 7.59, 15.06, 12.21, 0.55, 14.07, 27.64, 22.66, 24.48, 14.92, 13.63, 26.5, 8.53, 8.29],
